Major,researchExp,industryExp,toeflScore,GRE_V,GRE_Q,GRE_AWA,CGPA,University
Electrical Engineering,0.0,0.0,113.0,145,170,3.5,3.42,Worcester Polytechnic Institute
Mechanical Engineering,0.0,0.0,108.0,158,167,4.5,3.58,Worcester Polytechnic Institute
MIS,0.0,0.0,98.0,145,159,3.0,2.9,Worcester Polytechnic Institute
MIS,0.0,0.0,101.0,148,163,4.0,2.35,Worcester Polytechnic Institute
Electrical Engineering,0.0,0.0,101.0,141,169,4.5,3.23,Worcester Polytechnic Institute
Computer Science,0.0,0.0,99.0,150,151,4.0,2.85,Worcester Polytechnic Institute
Computer Science,0.0,0.0,103.0,156,159,4.0,3.07,Worcester Polytechnic Institute
MIS,0.0,0.0,94.0,144,168,3.0,2.4,Worcester Polytechnic Institute
MIS,0.0,0.0,106.0,148,168,3.5,2.85,Worcester Polytechnic Institute
MIS,0.0,48.0,109.0,156,157,3.0,2.5,Worcester Polytechnic Institute
MIS,0.0,43.0,108.0,150,157,3.0,3.3,Worcester Polytechnic Institute
Computer Science,0.0,15.0,112.0,152,162,4.5,3.46,Worcester Polytechnic Institute
MIS,0.0,0.0,106.0,149,157,4.0,3.1,Worcester Polytechnic Institute
Computer Science,0.0,0.0,106.0,151,170,3.0,2.6,Worcester Polytechnic Institute
Computer Science,0.0,36.0,110.0,150,161,4.0,3.58,Worcester Polytechnic Institute
MIS,0.0,0.0,97.0,146,153,4.0,2.5,Worcester Polytechnic Institute
MIS,0.0,0.0,114.0,147,157,3.5,3.42,Worcester Polytechnic Institute
Mechanical Engineering,0.0,0.0,94.0,140,170,3.5,2.75,Worcester Polytechnic Institute
Computer Science,0.0,0.0,90.0,146,170,3.0,2.8,Worcester Polytechnic Institute
MIS,0.0,0.0,89.0,145,162,3.0,2.75,Worcester Polytechnic Institute
MIS,0.0,0.0,112.0,152,160,3.5,2.95,Worcester Polytechnic Institute
MIS,0.0,54.0,104.21251509054326,143,157,3.5,2.9,Worcester Polytechnic Institute
MIS,0.0,20.0,106.0,155,153,3.5,3.0,Worcester Polytechnic Institute
MIS,0.0,0.0,109.0,138,170,3.0,3.17,Worcester Polytechnic Institute
MIS,0.0,4.0,84.0,142,159,3.0,2.8,Worcester Polytechnic Institute
Electrical Engineering,0.0,0.0,110.0,154,167,3.0,3.0,Worcester Polytechnic Institute
Mechanical Engineering,0.0,0.0,95.0,140,168,2.5,2.8,Worcester Polytechnic Institute
MIS,0.0,0.0,105.0,151,151,3.5,3.46,Worcester Polytechnic Institute
MIS,0.0,0.0,84.0,141,170,4.0,3.36,Worcester Polytechnic Institute
Electrical Engineering,0.0,0.0,92.0,141,168,3.0,3.33,Worcester Polytechnic Institute
MIS,0.0,0.0,97.0,140,169,3.0,3.1,Worcester Polytechnic Institute
MIS,0.0,0.0,104.21251509054326,154,167,3.5,3.81,Worcester Polytechnic Institute
Electronics and Communication,0.0,0.0,108.0,157,170,4.0,2.7,Worcester Polytechnic Institute
Computer Science,0.0,0.0,102.0,148,157,3.0,2.6,Worcester Polytechnic Institute
Information Systems,0.0,0.0,112.0,150,163,4.0,2.55,Worcester Polytechnic Institute
Electronics and Communication,0.0,0.0,109.0,154,164,3.0,3.26,Worcester Polytechnic Institute
Computer Science,0.0,0.0,109.0,155,166,4.0,3.2,Worcester Polytechnic Institute
MIS,0.0,0.0,106.0,151,157,4.0,3.58,Worcester Polytechnic Institute
Mechanical Engineering,0.0,0.0,99.0,153,159,3.0,3.23,Wayne State College
Computer Science,0.0,0.0,76.0,134,164,3.0,3.55,Wayne State College
Industrial Engineering,0.0,0.0,104.21251509054326,140,156,3.0,2.65,Wayne State College
Industrial Engineering,0.0,12.0,112.0,151,164,3.5,2.55,Wayne State College
Industrial Engineering,0.0,0.0,99.0,150,151,3.0,3.23,Wayne State College
Computer Science,0.0,0.0,88.0,139,168,3.0,3.58,Wayne State College
Mechanical Engineering,0.0,0.0,88.0,154,164,3.0,2.65,Wayne State College
Industrial Engineering,0.0,0.0,110.0,153,157,3.5,2.8,Wayne State College
Electrical Engineering,0.0,0.0,104.21251509054326,148,160,4.0,2.65,Wayne State College
Civil Engineering,0.0,0.0,95.0,145,164,3.0,3.23,Wayne State College
Industrial Engineering,0.0,0.0,91.0,149,165,3.5,2.65,Wayne State College
Industrial Engineering,0.0,9.0,79.0,142,153,3.5,3.1,Wayne State College
Industrial Engineering,0.0,0.0,80.0,145,152,2.5,2.65,Wayne State College
Electrical Engineering,0.0,0.0,89.0,143,158,2.5,3.39,Wayne State College
Electrical Engineering,0.0,0.0,112.0,151,167,3.5,3.17,Wayne State College
Industrial Engineering,0.0,0.0,95.0,138,152,3.0,2.95,Wayne State College
Mechanical Engineering,0.0,3.0,98.0,145,161,3.0,3.3,Wayne State College
Mechanical Engineering,0.0,0.0,99.0,145,153,3.0,3.36,Wayne State College
Industrial Engineering,0.0,0.0,104.21251509054326,144,164,3.0,3.62,Wayne State College
Industrial Engineering,0.0,0.0,110.0,155,164,4.0,2.8,Wayne State College
Industrial Engineering,0.0,12.0,91.0,140,158,3.0,3.62,Wayne State College
Industrial Engineering,0.0,0.0,103.0,147,165,3.5,3.3,Wayne State College
Civil Engineering,0.0,24.0,104.21251509054326,140,152,3.0,2.85,Wayne State College
Industrial Engineering,0.0,0.0,104.21251509054326,136,168,3.0,2.75,Wayne State College
Mechanical Engineering,0.0,0.0,104.21251509054326,150,154,3.0,2.75,Wayne State College
Electrical Engineering,0.0,0.0,102.0,140,169,3.5,3.0,Wayne State College
Mechanical Engineering,0.0,0.0,89.0,146,163,3.0,2.75,Wayne State College
Mechanical Engineering,0.0,0.0,98.0,147,162,3.0,2.75,Wayne State College
Mechanical Engineering,0.0,0.0,104.21251509054326,145,159,3.0,3.36,Wayne State College
Computer Science,0.0,0.0,99.0,146,157,3.0,3.36,Wayne State College
Mechanical Engineering,0.0,0.0,104.21251509054326,146,152,3.0,3.3,Wayne State College
Computer Science,0.0,0.0,93.0,149,159,3.5,3.33,Wayne State College
Industrial Engineering,0.0,0.0,84.0,138,162,3.0,3.3,Wayne State College
Civil Engineering,0.0,6.0,105.0,149,162,3.5,2.9,Wayne State College
Computer Science,0.0,20.0,8.0,157,164,4.0,3.07,Wayne State College
Industrial Engineering,15.0,13.0,95.0,143,157,3.5,3.0,Wayne State College
Computer Science,0.0,32.0,100.0,146,155,3.5,2.95,Wayne State College
Industrial Engineering,0.0,0.0,94.0,149,153,2.5,2.7,Wayne State College
Mechanical Engineering,0.0,33.0,86.0,143,148,2.5,3.4,Wayne State College
Mechanical Engineering,0.0,0.0,104.21251509054326,145,157,3.0,3.04,Wayne State College
Civil Engineering,0.0,0.0,104.21251509054326,136,155,3.0,3.49,Wayne State College
Electrical Engineering,0.0,0.0,104.21251509054326,141,169,4.0,3.0,Wayne State College
Mechanical Engineering,0.0,0.0,101.0,139,170,4.0,2.85,Wayne State College
Mechanical Engineering,0.0,0.0,95.0,141,170,3.5,2.7,Wayne State College
Industrial Engineering,0.0,0.0,101.0,140,168,3.5,3.07,Wayne State College
Civil Engineering,0.0,0.0,104.21251509054326,152,151,3.0,3.26,Wayne State College
Mechanical Engineering,0.0,48.0,96.0,145,163,3.0,3.07,Wayne State College
Industrial Engineering,0.0,0.0,104.21251509054326,151,153,3.5,2.8,Wayne State College
Biomedical Engineering,0.0,0.0,104.21251509054326,140,166,3.0,2.7,Wayne State College
Mechanical Engineering,0.0,2.0,105.0,147,165,3.5,3.0,Wayne State College
Electrical Engineering,0.0,0.0,7.0,141,166,3.0,2.9,Wayne State College
Mechanical Engineering,0.0,0.0,79.0,140,155,2.5,3.0,Wayne State College
Computer Science,0.0,0.0,89.0,143,158,3.0,3.17,Wayne State College
Mechanical Engineering,0.0,0.0,81.0,139,158,3.0,3.17,Wayne State College
Mechanical Engineering,0.0,0.0,90.0,142,160,3.0,3.1,Wayne State College
Industrial Engineering,0.0,0.0,100.0,145,159,3.0,3.3,Wayne State College
Electrical and Computer Engineering,0.0,0.0,96.0,140,168,3.0,3.2,Wayne State College
Industrial Engineering,0.0,0.0,92.0,150,151,3.0,3.0,Wayne State College
Electrical and Computer Engineering,0.0,0.0,119.0,166,159,4.5,3.26,Wayne State College
Industrial Engineering,0.0,0.0,106.0,149,163,4.5,2.6,Wayne State College
Electrical Engineering,0.0,0.0,100.0,144,170,3.0,2.45,Wayne State College
Computer Science,0.0,0.0,104.21251509054326,140,159,3.5,3.5,Wayne State College
Electronics and Communication,0.0,0.0,104.0,150,161,3.0,2.9,Wayne State College
Civil Engineering,0.0,0.0,86.0,150,142,3.0,3.46,Wayne State College
Electrical Engineering,0.0,0.0,93.0,139,156,3.0,3.07,Wayne State College
Industrial Engineering,0.0,0.0,104.21251509054326,141,152,3.0,2.8,Wayne State College
Industrial Engineering,0.0,0.0,102.0,138,168,3.0,3.58,Wayne State College
Electrical Engineering,0.0,0.0,84.0,146,156,3.0,3.26,Wayne State College
Computer Science,0.0,0.0,97.0,140,147,3.0,2.95,Wayne State College
Electrical Engineering,0.0,0.0,88.0,140,159,3.0,3.23,Wayne State College
Mechanical Engineering,0.0,0.0,104.21251509054326,145,154,2.5,2.6,Wayne State College
Mechanical Engineering,0.0,0.0,103.0,149,158,3.5,3.42,Wayne State College
Industrial Engineering,53.0,53.0,95.0,148,152,3.0,3.2,Wayne State College
Civil Engineering,0.0,2.0,93.0,151,151,3.5,3.23,Wayne State College
Mechanical Engineering,0.0,0.0,81.0,146,162,3.0,3.14,Wayne State College
Industrial Engineering,0.0,0.0,83.0,150,155,3.0,2.5,Wayne State College
Mechanical Engineering,0.0,12.0,100.0,149,161,3.0,2.6,Wayne State College
Industrial Engineering,0.0,0.0,107.0,149,160,3.0,3.33,Wayne State College
Industrial Engineering,0.0,0.0,90.0,142,154,3.5,3.07,Wayne State College
Electrical Engineering,0.0,0.0,97.0,143,165,3.5,2.6,Wayne State College
Industrial Engineering,0.0,0.0,97.0,144,152,3.0,3.23,Wayne State College
Industrial Engineering,0.0,50.0,93.0,149,151,3.0,2.75,Wayne State College
Electrical Engineering,0.0,18.0,80.0,141,156,2.5,3.23,Wayne State College
Electrical Engineering,0.0,3.0,96.0,145,162,3.5,2.8,Wayne State College
Electrical Engineering,0.0,0.0,97.0,145,158,3.0,3.26,Wayne State College
Computer Science,0.0,27.0,104.21251509054326,143,159,3.0,3.33,Wayne State College
Mechanical Engineering,0.0,0.0,83.0,143,159,3.0,2.7,Wayne State College
Mechanical Engineering,6.0,0.0,100.0,143,159,3.5,3.1,Wayne State College
Electronics and Communication,0.0,0.0,103.0,145,159,3.0,3.1,Wayne State College
Computer Science,0.0,23.0,104.21251509054326,139,157,3.0,3.26,Wayne State College
Industrial Engineering,0.0,0.0,106.0,157,154,3.0,2.55,Wayne State College
Electrical Engineering,0.0,42.0,112.0,161,160,3.0,2.65,Wayne State College
Mechanical Engineering,24.0,24.0,116.0,153,169,5.5,3.42,Wayne State College
Industrial Engineering,0.0,0.0,104.21251509054326,145,170,5.5,3.26,Wayne State College
Mechanical Engineering,0.0,0.0,83.0,142,161,3.0,3.2,Wayne State College
Industrial Engineering,0.0,0.0,102.0,146,161,3.5,2.75,Wayne State College
Industrial Engineering,0.0,0.0,100.0,137,168,2.5,3.07,Wayne State College
Electronics and Communication,0.0,0.0,104.21251509054326,150,158,3.0,3.52,Wayne State College
Mechanical Engineering,0.0,0.0,105.0,146,160,3.5,3.17,Wayne State College
Mechanical Engineering,0.0,0.0,84.0,140,166,2.5,3.42,Wayne State College
MIS,0.0,0.0,100.0,143,163,3.0,2.95,Wayne State College
Computer Science,0.0,0.0,86.0,149,153,4.0,3.2,Wayne State College
Biomedical Engineering,0.0,0.0,110.0,147,165,3.0,3.39,Wayne State College
Civil Engineering,0.0,0.0,104.21251509054326,146,157,3.0,3.33,Wayne State College
Mechanical Engineering,0.0,49.0,104.21251509054326,138,152,3.0,3.1,Wayne State College
Biomedical Engineering,0.0,0.0,96.0,139,156,2.5,3.42,Wayne State College
Electrical Engineering,0.0,0.0,88.0,145,151,2.5,2.8,Wayne State College
Electrical Engineering,0.0,0.0,84.0,146,147,3.0,2.9,Wayne State College
Computer Science,0.0,0.0,104.21251509054326,149,157,2.5,2.85,Wayne State College
Industrial Engineering,0.0,0.0,82.0,145,159,3.0,2.35,Wayne State College
Mechanical Engineering,0.0,0.0,94.0,140,169,3.5,2.5,Wayne State College
Mechanical Engineering,0.0,0.0,97.0,144,160,3.5,2.9,Wayne State College
Civil Engineering,0.0,0.0,87.0,146,161,3.0,3.49,Wayne State College
Mechanical Engineering,0.0,0.0,83.0,138,165,3.0,2.8,Wayne State College
Mechanical Engineering,0.0,0.0,98.0,144,170,3.5,2.6,Wayne State College
Mechanical Engineering,0.0,32.0,91.0,142,162,3.0,3.1,Wayne State College
Industrial Engineering,0.0,0.0,104.21251509054326,151,160,3.0,3.04,Wayne State College
Mechanical Engineering,0.0,2.0,83.0,144,156,2.5,2.95,Wayne State College
Computer Science,0.0,0.0,85.0,146,150,3.0,2.95,Wayne State College
Computer Science,0.0,33.0,104.21251509054326,153,163,3.0,2.8,Wayne State College
Mechanical Engineering,0.0,0.0,92.0,146,164,3.0,3.0,Wayne State College
Industrial Engineering,0.0,0.0,84.0,147,150,2.5,3.46,Wayne State College
Electrical Engineering,0.0,38.0,104.21251509054326,143,155,3.0,3.49,Wayne State College
Mechanical Engineering,0.0,0.0,104.21251509054326,151,169,3.0,3.42,Wayne State College
Mechanical Engineering,0.0,0.0,7.0,149,158,3.5,2.7,Wayne State College
Mechanical Engineering,0.0,0.0,97.0,149,161,3.0,2.95,Wayne State College
Aerospace Engineering,0.0,0.0,87.0,150,159,2.5,2.95,Wayne State College
Industrial Engineering,0.0,0.0,102.0,149,155,3.0,2.35,Wayne State College
Industrial Engineering,0.0,24.0,113.0,159,170,4.0,3.26,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,102.0,150,167,3.0,3.36,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,113.0,144,170,4.0,2.75,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,12.0,24.0,111.0,158,170,4.5,3.71,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,111.0,154,170,4.0,2.7,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,1.0,111.0,152,161,4.0,3.71,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,27.0,105.0,154,165,3.5,3.04,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,4.0,22.0,116.0,152,167,4.0,3.84,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,116.0,158,170,4.0,3.52,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,104.21251509054326,151,157,5.0,3.49,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,104.21251509054326,148,170,3.0,3.33,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,2.0,117.0,158,170,4.5,3.78,Virginia Polytechnic Institute and State University (Virginia Tech)
Electronics and Communication,0.0,4.0,104.21251509054326,164,163,4.0,3.55,Virginia Polytechnic Institute and State University (Virginia Tech)
Electronics and Communication,0.0,0.0,105.0,167,168,4.0,3.07,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,109.0,154,162,3.5,3.58,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,114.0,145,170,4.0,3.71,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,104.21251509054326,150,170,3.0,3.55,Virginia Polytechnic Institute and State University (Virginia Tech)
Electronics and Communication,0.0,0.0,117.0,160,162,4.0,3.71,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,104.21251509054326,144,169,3.0,3.42,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,101.0,151,170,3.5,3.5,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,0.0,0.0,109.0,158,165,3.5,3.65,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,112.0,145,170,4.0,3.2,Virginia Polytechnic Institute and State University (Virginia Tech)
Electronics and Communication,0.0,0.0,112.0,144,170,4.5,3.33,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical and Computer Engineering,0.0,0.0,103.0,156,170,4.0,3.62,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,112.0,152,165,4.5,3.2,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,7.0,2.0,114.0,163,166,4.5,3.65,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,0.0,0.0,104.21251509054326,145,170,3.0,3.71,Virginia Polytechnic Institute and State University (Virginia Tech)
Electronics and Communication,0.0,0.0,114.0,157,170,4.0,3.2,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,108.0,161,167,4.0,3.39,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,115.0,161,170,4.5,3.36,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,0.0,0.0,117.0,157,170,4.5,3.42,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,111.0,162,168,3.0,3.26,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,110.0,160,170,4.0,3.52,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,9.0,18.0,108.0,156,163,3.0,3.04,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,102.0,150,165,3.0,3.39,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,0.0,0.0,111.0,148,167,4.0,3.65,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,117.0,146,170,5.5,3.46,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,107.0,165,167,4.0,3.2,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,112.0,158,168,5.0,3.68,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,104.21251509054326,149,170,4.5,2.8,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,44.0,107.0,152,170,3.5,3.52,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,114.0,151,170,5.0,3.33,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,112.0,147,170,3.0,3.3,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,0.0,0.0,110.0,151,164,4.0,3.78,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,104.21251509054326,156,170,5.0,3.71,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,102.0,144,170,3.5,3.0,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,101.0,143,170,3.5,3.52,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,113.0,140,170,3.0,3.7,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,112.0,150,170,3.5,3.36,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,104.21251509054326,152,170,4.0,3.68,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,110.0,153,160,4.0,3.68,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,0.0,0.0,115.0,155,164,4.5,3.46,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,106.0,144,170,4.5,3.36,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,24.0,103.0,156,166,3.5,3.3,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,2.0,100.0,150,160,4.0,3.33,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,104.21251509054326,140,170,4.5,3.74,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,105.0,140,170,4.0,3.74,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,104.21251509054326,146,170,4.0,3.78,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,6.0,14.0,104.0,158,164,3.5,3.74,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,97.0,144,170,3.0,4.0,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,109.0,155,170,3.5,3.36,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,10.0,16.0,116.0,155,170,4.0,2.65,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,104.21251509054326,164,164,4.0,3.71,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,114.0,149,170,4.5,3.49,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,110.0,148,170,4.0,3.65,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,101.0,143,170,3.5,3.52,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,117.0,149,170,3.5,3.68,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,114.0,166,166,4.0,3.55,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,6.0,114.0,155,167,4.0,3.3,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,113.0,157,164,5.0,3.42,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,22.0,101.0,153,162,4.0,3.87,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,15.0,9.0,118.0,155,168,4.0,3.04,Virginia Polytechnic Institute and State University (Virginia Tech)
Architecture,0.0,12.0,115.0,157,162,4.0,3.07,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,109.0,152,170,4.5,3.46,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,108.0,159,162,3.5,3.81,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,2.0,34.0,113.0,154,163,4.0,3.68,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,114.0,157,164,4.0,3.49,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,107.0,146,170,3.5,3.58,Virginia Polytechnic Institute and State University (Virginia Tech)
Electronics and Communication,0.0,0.0,112.0,166,170,4.0,3.52,Virginia Polytechnic Institute and State University (Virginia Tech)
Industrial Engineering,0.0,0.0,111.0,157,164,3.5,3.68,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,3.0,104.21251509054326,151,163,3.0,3.62,Virginia Polytechnic Institute and State University (Virginia Tech)
Civil Engineering,0.0,0.0,116.0,149,170,3.0,3.55,Virginia Polytechnic Institute and State University (Virginia Tech)
Electronics and Communication,0.0,0.0,110.0,146,170,3.5,3.58,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,115.0,152,170,4.0,3.49,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,0.0,0.0,107.0,147,170,3.0,3.78,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical and Computer Engineering,0.0,0.0,108.0,151,170,4.0,3.46,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,109.0,144,170,3.0,3.49,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,116.0,167,170,4.0,3.84,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,111.0,157,163,3.0,3.2,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,120.0,165,169,3.5,3.42,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,100.0,148,161,3.0,3.52,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,7.0,114.0,166,170,3.5,2.9,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,109.0,145,170,4.0,3.46,Virginia Polytechnic Institute and State University (Virginia Tech)
Mechanical Engineering,0.0,0.0,114.0,157,166,4.0,3.78,Virginia Polytechnic Institute and State University (Virginia Tech)
Computer Science,0.0,0.0,114.0,146,170,4.5,3.78,Virginia Polytechnic Institute and State University (Virginia Tech)
Electrical Engineering,0.0,0.0,105.0,150,163,3.5,3.62,Virginia Polytechnic Institute and State University (Virginia Tech)
Electronics and Communication,0.0,0.0,104.21251509054326,145,170,3.5,3.3,Virginia Polytechnic Institute and State University (Virginia Tech)
